"ID";"Reisender";"Titel";"Standort";"Stand";"Original";"Bearbeitungsvermerk";"Reisezeit";"KA";"KE";"Koordinaten";"Band"
2730;Wattenbach, A.;"Wattenbach, A.: Tagebuch auf Reisen (Sicilien, Athen, Constantinopel),  hrsg. zu Gunsten des Bazaars für ""The Foreigners in dis-
tress""von einem ""Foreigner not in distress. ""London 1881, 137p. ,  portrait frontispiece, and 9 photographs. 
";MFilm  P 15/ 91;2;1;0;;18;58;;0
2731;Webb, Ph. B.;Webb, Ph. B.: Topographie de la Troade. Paris 1844 (= Übersetzung).  ;Gen;1;1;0;;255;0;;0
2732;Webbe, Edward;"Webbe, Edward: Edward Webbe, Chief Master Gunner, his travailes, 1590.  Edited by Edward Arber... Westminster 1902, 40p. 
Weitere Ausgabe: New York 1966. 
";MS UB 3E38952-1, 5;4;1;0;;255;0;;0
2733;Webbe, Edward;"Webbe, Edward: The rare and most wonderful thinges which E. Webbe...  hath seene... in his travailes in the Citties of Jerusalem, Dammasko Bethlehem and Galely and in the Landes of Iewrie, Egypt, Grecia,  Russia and the land of Prester John, sine loco et anno. London 1590 u. 1868, 60p. 
";Eng. Sem. Mikrofilm;4;2;0;;255;0;;0
2734;Weber, Leo;"Weber, Leo: Im Banne Homers. Eindrücke und Erlebnisse einer Hellasfahrt. Leipzig 1912, 291p. mit Photographien. 
";Kopie HilanG;3;1;0;;44;70;;0
2735;Weber, Mathilde;"Weber, Mathilde: Durch Griechenland nach Konstantinopel. Eine Gesellschaftsreise in fünfunddreißig Tagen. 2. durchges. Aufl. Tübingen 1892, 100p. 
";Stutt. Geogr. oct. 7;2;1;0;;18;61;;0
2736;Webster, James;"Webster, James: Travels through the Crimea, Turkey, and Egypt, performed during the years 1825-1826, including particulars of the last illness and death of the Emperor Alexander, and the Russian conspiracy in 1825. 2 Bde. London 1830. 
";Gen: GT 1039 (I, 193;4;1;0;;255;0;;0
2737;Welcker, Friedrich Gottlieb;"Welcker, Friedrich Gottlieb: Tagebuch einer griechischen Reise.  2 Bde. in I. Berlin 1865, 344+338p. 
";MS Arch. Sem. XVIII1;3;2;0;;18;70;;0
2738;Wengk von Nürnberg;"Wengk von Nürnberg: ""In diesem puch steht geschrieben wie Wengk von Noremberg auf gen Jerusalem vnd vber mere zog wie die Inseln vnd stet Vnterwegen heissen. Auch was Heiltumbs vnd wie viel meyl von einer Innsel zu der andern"". In: Hormayr, v. , Taschenbuch 1840, 284.  ";Röhricht 391;1;1;0;;255;0;;0
2739;Werli, Hans;"Werli, Hans: Beschreibung und Wallfahrt zu heyligen Grab von Hans Werli, Heinrich von Stössel, Hans Truchless... Ed. Feyerabend, Reyssbuch des heyligen Landt. Frankfurt 1584. 
";Hemmerdinger      ;1;1;2;;255;0;;0
2740;Wernick, Fritz;"Wernick, Fritz: Olympia. Eine Osterfahrt in den Peloponnes. Mit einer Ansicht des Zeustempels und einem Übersichtsplan des Ausgrabungsfeldes und seiner Umgebungen. Leipzig 1877, vii+237p. 
";Kopie HiLanG;2;1;0;;61;64;;0
2741;Wertogrado, Paul;"Wertogrado, Paul: Reise zu den heiligen Orten, zum heiligen Lande,  zum heiligen Athosberg und nach Palästina im Jahre 1862. 2 Teile.  Moskau 1866, 152p. , mit 11 Bildern und einer Tafel mit dem Bilde des alten Jerusalems. 
";Röhricht 2755;1;1;0;;29;29;;0
2742;Westrik, J.;"Westrik, J.: Konstantinopel, Smyrna, het Suez-Kanal, Jeruzalem, Reisherinneringen door J. Westrik. Amsterdam 1875, 224p. , portrait frontispiece, 6 colored illustrations, 1 plan. 
";Gen: GT 1162(I, 735);1;1;1;;18;52;;0
2743;Westrik, J.;"Westrik, J.: Konstantinopel, Smyrna, het Suez-Kanal, Jeruzalem, Reisherinneringen. Ten vordeele van de diakonesseninrichting""Talitha Kumi"" te Jeruzalem. Amsterdam 1870. 
";Röhricht 3140     ;1;1;1;;18;52;;0
2744;Wey, William;"Wey, William: The Itinieraries of William Wey fellow of Eton College to Jerusalem, A. D. 1458 and A. D. 1462. London 1857. 
";Hemmerdinger;1;1;0;;255;0;;0
2745;Wheler, George;"Wheler, George: A Journey into Greece, by George Wheler, Esq. , in company of Dr. Spon, of Lyons. 6 Bücher. I: A voyage from
Venice to Constantinople. II: An account of Constantinople and the adjacent places. III: A voyage through the Lesser Asia. IV: A voyage from Zant through several parts of greece to Athens. V:... VI:...  London 1682, xii+483p. , map and plates, folio. 
";MF HILANG MS;2;1;0;;18;80;;0
2746;Wheler, George;"Wheler, George: Voyage de Dalmatie, de Grèce, et du Levant, par Mr.  George Wheler, enrichi de médailles, & de figures des principales antiquitez qui se trouvent dans ces lieux, avec la description des costumes, des villes, rivières, ports de mer, & de ce qui s'y trouve de plus remarquable. Traduit de l'anglois. 2 Bde. Paris 1689, xii+607 p. , paged continuously, index, many plates. 
";MF HiLanG;1;3;0;;18;61;;0
2747;Wheler, George;"Wheler, George: Voyage de Dalmatie, de Grèce, et du Levant, par Mr.  George Wheler,... Amsterdam 1689, xii+358+332p. , title-pages and engraved frontispieces of ed. of La Haye, 1723. 
";MF HiLanG;1;3;0;;18;61;;0
2748;White, Charles;"White, Charles: Three years in Constantinople, or, Domestic manners of the Turks in 1844. 3 Bde. 2. Aufl. London 1846, 3 tinted lithograph frontispieces and engraved chapter-headings. 
";Gen.: GT 1484 (I, 39;1;2;0;;18;18;;0
2749;White, Charles;"White, Charles: Häusliches Leben und Sitten der Türken. Nach dem Eng.  bearb. von Alfred Reumont. 2 Bde. Berlin 1844-45, xii+438p. ; vi+424p.  ";Land. Mus. F 845;2;3;0;;18;18;;0
2750;White, Charles;White, Charles: Drei Jahre in Konstantinopel, oder, Sitten und Einrichtungen der Türken. Übers. v. G. Fink. 3 Teile. Stuttgart 1846, 333p.  ;MS UB Z Okt 2066-86;2;3;0;;18;18;;0
2751;Wickenden, J. Frederic;"Wickenden, J. Frederic: Seven days in Attica in the Summer of 1852.  London 1853, xi+35p. , text, 2 maps, 35 sketches mounted on linen, the whole in a cardboard case. (According to the prospectus, only 67 copies were printed. ). 
";Gen: GT2008(I, 1158);1;1;1;;55;61;;0
2752;Wiebel;"Wiebel: Über die Insel Kephallenia und die Meeresmühlen von Argostoli. Hamburg 1874, 1 Karte. 
";"";1;1;0;;51;54;;0
2753;Wieseler, Friedrich;"Wieseler, Friedrich: Archäologischer Bericht über seine Reise nach Griechenland. Göttingen 1874, 72p. 
";MS Arch. Sem. X 895;2;1;0;;58;58;;0
2754;Wilbraham, Charles P.;"Wilbraham, Charles P.: Palestine. 5. Aufl. London 1849, 54p. , illustrations. 
";Gen: GT 1633(I, 422);1;1;1;;255;0;;0
2755;Wild, Johann;Wild, Johann: Neue Reysbeschreibung eines gefangenen Christen, wie derselbe neben anderer Gefährlichkeiten zum sibenden mal verkaufft worden, welche sich anno 1604 angefangen und 1611 ihr End genommen:  darinnen außführlich zu finden die Stätt, Länder und Königreich,  sampt deroselben Völcker, Sitten und Gebräuch... insbesondere...  Nürnberg 1613, xxxv+262p. , portrait and map, title-page in red a...  ;MS UB 3E 12586;2;1;0;;18;99;;0
2756;Wilde, W. R.;"Wilde, W. R.: Narrative of a voyage to Madeira, Teneriffe, and along the shores of the Mediterranean, including a visit to Algiers, Egypt Palestine, Tyre, Rhodes, Telmessus, Cyprus and Greece, with observations on the present state and prospects of Egypt and Palestine.  2. Aufl. Dublin 1844, xiv+648p. 1. Aufl. 1840. 
";Gen: GT 1101 (I, 359;2;1;0;;58;78;;0
2757;Wilhelm von Boldensele;"Wilhelm von Boldensele: Die Edelherren von Boldensele oder Boldensen, hrsg. von E. L. Grotefend. In: Zeitschrift des historischen Vereins für Niedersachsen, 1852, 209-286. 
";UB MS;4;1;0;;255;0;;0
2758;Wilhelm von Boldensele;"Wilhelm von Boldensele: Itinerarius Guilielmi de Boldensele in terram sanctam. In: Thesaurus monumentorum ecclesiasticorum et historicorum sive Henrici Canisii Lectiones Antiquae IV, hrsg. von J. Basnage. Amsterdam 1725, 332-357. 
";Vin;4;1;0;;255;0;;0
2759;Wilhelm von Boldensele;"Wilhelm von Boldensele: Itinerarius Guilielmi de Boldensele in terram sanctam. In: Antiquae lectiones V (2), hrsg. von H. Canisius.  Ingolstadt 1604, 95-143. 
";Vin;4;1;0;;255;0;;0
2760;Wilkins, William;Wilkins, William: The Antiquities of Magna Graecia. Cambridge 1807.  ;Köln, Klenze       ;1;1;3;;98;98;;0
2761;Wilkins, William;"Wilkins, William: Atheniensa, or remarks on the topography and buildings of Athens. London 1816, x+218p. , 1 Karte, 1 Abb. 
";Kopie HILANG;2;1;0;;58;58;;0
2762;Wilkinson, C.;Wilkinson, C.: A tour through Asia Minor and the Greek Islands, with an account of the inhabitants, natural productions and curiosities,  for the instruction and amusement of youth. London 1806, ix+424p.  ;Gen: GT 1010 (I, 11);1;1;1;;255;0;;0
2763;Wille, Emil;"Wille, Emil: Mein Ausflug von Athen nach Eleusis, Korinth, Mykenä und Tiryns in den Sommerferien 1899. 2 Teile. Neustettin 1901 u. 1904,  36+32p. 
";MS UB BB1027-1901a/ ;2;1;0;;55;61;;0
2764;Williams, H. W.;"Williams, H. W.: Select views in Greece, with classical illustrations.  2 Bde. London 1829, 64 engraved india proofs, with explanatory text to each. 
";DAD Berl. , Gen: GT ;1;1;3;;255;0;;0
2765;Williams, H. W.;"Williams, H. W.: Travels in Italy, Greece, and the Ionian Islands, in a series of letters descriptive of manners, scenery, and the fine arts. 2 Bde. Edinburgh 1820, many illustrations. 
";StBibl. Stuttgart;2;1;0;;255;0;;0
2766;Williams, H. W.;"Williams, H. W.: Travels in Italy, Greece, and the Ionian Islands, in a series of letters, descriptive of manners, scenery, and the fine arts.  Bd. 1. Edinburgh 1820, xxiii+399p. 
";StBibl. Stuttgart;4;1;0;;255;0;;1
2767;Williams, H. W.;"Williams, H. W.: Travels in Italy, Greece, and the Ionian Islands, in a series of letters, descriptive of manners, scenery, and the fine arts.  Bd. 2. Edinburgh 1820, xiv+437p. 
";Kopie HILANG;2;1;0;;48;98;;2
2768;Willibaldus;"Willibaldus: Vita Willibaldus episcopi Eichstetensis. MGH SS 15,  80-116. 
";Vin;4;1;0;;255;0;;0
2769;Willibaldus;"Willibaldus: Vita Willibaldi episcopi Eichstetensis. In: Early Travels in Palestine, hrsg. von Th. Wright. 2. Aufl. New York 1968,  13-22. 
";UB Bochum;4;1;0;;255;0;;0
2770;Willibaldus;"Willibaldus: Vita Willibaldus episcopi Eichstetensis. In: T. Tobler und A. Molinier: Itinera Hierosolymitana et descriptiones terrae sanctae bellis sacris anteriora et lingua latina exarata. Bd. 1. Geneva 1879, 241-281. 
";Göttingen;4;1;0;;255;0;;0
2771;Willis, N. Parker;"Willis, N. Parker: Summer Cruise in the Mediterranean. London 1853,  xvii+300p. , engraved frontispiece and title-page, XVI+283p. 
";UB Mainz G 261;2;1;0;;18;80;;0
2772;Willyams, Cooper;"Willyams, Cooper: A Selection of views in Egypt, Palestine, Rhodes,  Italy, Minorca, and Gibraltar, from the original drawings, executed during a visit to those places... with geographical and historical description to each view, in English and French. London 1822, 34 colored plates. 
";Gen: GT 1855 (I, 111;1;1;0;;78;85;;0
2773;Willyams, Cooper;"Willyams, Cooper: A voyage up the Mediterranean in His Majesty's ship... London 1802. 
";"";1;2;0;;255;0;;0
2774;Willyams, Cooper;"Willyams, Cooper: Reise auf dem Mittelmeere im Gefolge des Admirals Nelson ... Wien 1804. 
";"";1;3;0;;255;0;;0
2775;Wilmsen, Hans;"Wilmsen, Hans: S. Laurenberg, Johann. 
";"";5;1;0;;255;0;;0
2776;Wilski;"Wilski: Topographische Aufnahmen auf der Insel Santorin-Thera, o. O.  1897. 
";"";1;1;0;;78;78;;0
2777;Wilson, Samuel S.;"Wilson, Samuel S.: A narrative of the Greek Mission, or, Sixteen years in Malta and Greece. Including tours in the Peloponnesus, in the Aegean and Ionian Isles, with remarks on the religious opinions,  moral state, social habits, politics, language, history, and lazarettos of Malta and Greece. London 1839, xiii+596p. , engraved title-page, colored frontispiece. 
";StUB Frankfurt;1;1;0;;51;77;;0
2778;Wilson, William Rae;"Wilson, William Rae: Travels in Egypt and the Holy Land. The second edition with a journey through Turkey, Greece, the Ionian Isles, Sicily, Spain. 2. Aufl. London 1824, xxi+452p. 
";MF HILANG P29/ 91;1;1;0;;255;0;;0
2779;Winckelmann, Johann Joachim;"Winckelmann, Johann Joachim: Geschichte der Kunst des Altertums.  Dresden 1764. 
";MS Arch. Sem. i906;4;1;0;;255;0;;0
2780;Winckelmann, Johann Joachim;"Winckelmann, Johann Joachim: Anmerkungen über die Baukunst der Alten. Dresden 1761. 
";MS UB 3D6277;4;1;0;;255;0;;0
2781;Wines, E. C.;"Wines, E. C.: Two years and a half in the american Navy, comprising a journal of the cruise to England, in the Mediterranean, and in the Levant, on board of the U. S. Frigate Constellation, in the year 1829,  1830, and 1831. 2 Bde. London 1833. 
";Gen: GT 1049 (I, 215;1;1;1;;55;61;;0
2782;Wingfield, W. F.;"Wingfield, W. F.: A tour in Dalmatia, Albania, and Montenegro, with an historical sketch of the Republik of Ragusa, from the earliest times down to its final fall. London 1859, viii+348p. 
";UB Gött. Itin I 544;4;1;0;;255;0;;0
2783;Winkler, Johannes;"Winkler, Johannes: Durch Griechenland nach Konstantinopel. Reiseskizzen. Linz 1905. 
";Kopie HilanG;3;1;0;;31;55;;0
2784;Wintergerst, Martin;"Wintergerst, Martin: Reisen auf dem Mittelländischen Meere, der Nordsee, nach Ceylon und nach Java 1688-1710. 2 Bde. Neu hrsg. nach der zu Memmingen... im Jahre 1712 erschienenen Original-Ausgabe
Haag 1932. 
";Reddemann;4;1;0;;255;0;;0
2785;Witte, Jean de;"Witte, Jean de: Rapport sur un voyage archéologique fait en Italie et en Grèce. In: Bulletins de l'Académie royale de Bruxelles 9,  1842, 94-137. 
";Kopie HILANG;2;1;0;;52;58;;0
2786;Wittman, William;"Wittman, William: Travels in Turkey, Asia Minor, Syria, and across the desert into Egypt during the years 1799, 1800, and 1801, in company  with the Turkish Army and the British Military Mission; to which are annexed observations on the plague, and on the deseases prevalent in Turkey, and a meteorological journal... , London 1803, xvi+ 595p. ";Göttingen  ;1;2;2;;18;85;;0
2787;Wittman, William;Wittman, William: W. Wittmann's der (sic) Arzneikunde Doctor's Reisen in der europäischen Türkey, Kleinasien, Syrien und Aegypten in den Jahren 1799, 1800, 1801, und 1802 nebst Bemerkungen über die Pest und andere in der Türckey herrschende Krankheiten wie auch einem meteorologischen Tagebuche. Aus dem Englischen übers. v. J. A. Bergk,  2 Bde. in I. Leipzig 1804, xxii+293 and vi+374p. , 18 plates, colored.  ;Gen: GT 713 (II, 648;1;3;0;;18;85;;0
2788;Wittman, William;Wittman, William: Reisen nach der Türkei, Kleinasien, Syrien und Aegypten. In den Jahren 1799, 1800 u. 1801. Ausz. dt. Weimar 1805, xii+208p.  ;UB Tübingen;2;3;0;;30;78;;0
2789;Woehrle, Oskar;"Woehrle, Oskar: Ein deutscher Handwerksbursch der Biederzeit. Auf der Walze durch den Balkan und Orient. Nacherzählt von Oskar Woehrle.  Stuttgart 1916. 
";UB Freiburg E7519, m;4;1;0;;255;0;;0
2790;Wölffi, Heinrich;"Wölffi, Heinrich: Heinrich Wölffi (Lupulus) hinterliess eine Beschreibung seiner Jerusalemfahrt, die den Titel führt: Mea Syriaca profectio, aber nur in deutschen Bearbeitungen existiren soll, von denen die wichtigste und werthvollste, im Besitz der Familie Zeerleder in Bern, überschrieben ist: ""Syrische Reiss oder Faart gan Hierusalem, zum hl. Grab u. bis an Iordan ... "". Bern 1582. 
";Röhricht 621;1;1;0;;255;0;;0
2791;Woensel, P. van;"Woensel, P. van: Aanteekeningen, gehouden op eene reize door Turkijen,  Natolien, de Krim en Rusland in de jaaren 1784-89. 2 Bde. Konstantinopel 1791-94, xx+453p. and viii+317p. , portrait, 6 folding plates, vignettes. 
";Gött. GT 693(I, 606);1;1;2;;255;0;;0
2792;Woestyne de Grammez de Wardes, Ivan de;"Woestyne de Grammez de Wardes, Ivan de: Voyage au pays des Bachi--Bazoucks. Paris 1876, 324p. 
";Gen: GT 1163(I, 753);1;1;1;;255;0;;0
2793;Woestyne, Ivan de= Woestyne de Grammez de Wardes, ;"Woestyne, Ivan de= Woestyne de Grammez de Wardes, Ivan de
";"";5;1;0;;255;0;;0
2794;Wolf, Josef;Wolf, Josef: Reiseerinnerungen aus Griechenland. Feldkirch 1912.  ;MS UB BB 454-1912;2;1;0;;51;61;;0
2795;Wolff, Joseph;"Wolff, Joseph: Journal of the Rev. Joseph Wolff... in a series of letters to Sir Thomas Baring, Bart. , containing an account of his missionary labours from the years 1827 to 1831; and from the years 1835 to 1838. London 1839, vi+402p. 
";Gen: GT 778 (I, 306);4;1;0;;255;0;;0
2796;"Wolfgang Aigen von Nürnberg= Aigen, Wolfgang
";"Wolfgang Aigen von Nürnberg= Aigen, Wolfgang
";"";5;1;0;;255;0;;0
2797;Wolski, Thomas Stanislaus;"Wolski, Thomas Stanislaus: Illustris peregrinatio Jerosolimitana latius protracta per tres insigniores mundi partes a Thoma Stanidlao Wolski... nempe per Europam, Asiam et Africam, in quibus multa regna peragravit Barbarorum infideliumque tam in terra firma quam in mari existentia innummerasque penetravit insulas ... Cujus authoris vita in exordio.... 4. Aufl. Leopoli 1737 und 1739. 
";Röhricht 1365;4;1;0;;255;0;;0
2798;Wolski, Thomas Stanislaus;"Wolski, Thomas Stanislaus: Incipit historica narratio illustris peregrinationis Ierosolimitinae. o. O. 1748, 291p. , index. 
";UB Berlin;4;1;0;;255;0;;0
2799;Wood, Robert;"Wood, Robert: The Ruins of Baalbec etc. London 1757. Reprint Farnberough 1971. 
";UB Dortmund Y 5394;4;1;0;;255;0;;1
2800;Wood, Robert;Wood, Robert: An Essay on the original Genius of Homer. London 1769.  ;"";4;1;0;;255;0;;0
2801;Wood, Robert;"Wood, Robert: An Essay on the original Genius of Homer with a Comparative View of the Ancient and Present State of the Troade. London 1775. 
Nachdruck: New York 1971. 
Nachdruck: Hildesheim 1976. 
";MS UB 3E636608;2;2;0;;30;33;;4
2802;Wood, Robert;Wood, Robert: Vorstellung der Baalbekischen Alterthümer nach dem englischen Originale nebst einer kurzen Beschreibung derselben,  hrsg. von George Christoph Kilian. Augsburg 1769, mit 6 Kupferstichen.  ;BO Arch. Sem. ;1;3;0;;255;0;;2
2803;Wood, Robert;"Wood, Robert: Robert Woods Versuch über das Originalgenie des Homer.  Trans. by C. F. Michaelis. Frankfurt a. M. 1773. 
";MS Inst. Alt. ;4;3;0;;255;0;;3
2804;Woods, Joseph;"Woods, Joseph: Letters of an architect, from France, Italy, and Greece.  2 Bde. London 1828, 21 plates. 
";GT 1773. 1(I, 167)  ;1;1;1;;31;61;;4
2805;Woods, Joseph and Sharpe, R. H.;"Woods, Joseph and Sharpe, R. H.: Drawings made in Athens at March 1818.  London o. J. 
";Sym.              ;1;1;4;;55;58;;6
2806;Wordsworth, Christopher;"Wordsworth, Christopher: Athens and Attica. Notes of a tour. 3. Aufl.  London 1855, xviii+251p. , maps and plates. 
";Gen: GT1313. 21(I, 2;1;1;0;;52;61;;1
2807;Wordsworth, Christopher;Wordsworth, Christopher: Greece. Pictorial, descriptive, and historical With upwards of three hundred and fifty engravings on wood and twenty-eight on steel, illustrative of the scenery, architecture, and custume of that country, by Copley Fielding, Meissonier, Sargent, Daubigny, Jaques and other artists. A new edition London 1853, 458p. , the engravings in the text on tinted ground ed. extra title-page.  ;Gen: GT 2006(I, 1139;1;1;0;;255;0;;2
2808;Wordsworth, Christopher;"Wordsworth, Christopher: Athens and Attica. Journal of a residence there. 2. Aufl. London 1837, xx+297p. , 3 plates and 2 maps. 
4. Aufl. London 1869, with maps and plans, 251p. 
";UB Konstanz;2;1;0;;52;61;;2
2809;Wordsworth, Christopher;"Wordsworth, Christopher: Greece: pictorial, descriptive, and historical with upwards of three hundred and fifty engravings on wood and twenty-eight on steel, illustrative of the scenery, architecture, and custume of that country, by Copley Fielding, Meissonier, Sargent, Daubigny, Jaques and other artists. London 1840, xxvii+356p, frontispiece engraved extra title-page. 
";B. Wolfenbütt. Gf 34;2;2;0;;29;61;;2
2810;Wordsworth, Christopher;"Wordsworth, Christopher: La Grèce pittoresque et historique ancienne et moderne, traduction de E. Regnault... Illustrations sur acier et sur bois par les premiers artistes de Paris et de Londres. Paris 1841, 372p. , mit Karten, illustr. Titelseite. 
";BO Arch. Sem. ;1;3;0;;255;0;;4
2811;Worsley, Richard;"Worsley, Richard: Museum Worsleyanum, or a Collection of antique basso relievlos, bustosstatues and gems, with view of places in the Levant taken on the spot in the years 1785, 1786, 1787. 2 Bde. London 1824, 150 plates. 
";UB Tübingen DC 47a;2;1;0;;255;0;;0
2812;Worsley, Richard;"Worsley, Richard: Museum Worsleyanum, or a Collection of antique basso relievos, bustostatues and gems, with view of places in the Levant taken on the spot in the years 1785, 1786, 1787. Bd. 1. London 1824, vii +160p. , m. Abb. 
";UB Tübingen Dc 47a;4;1;0;;255;0;;1
2813;Worsley, Richard;"Worsley, Richard: Museum Worsleyanum, or a Collection of antique basso relievos, bustostatues and gems, with view of places in the Levant taken on the spot in the years 1785, 1786, 1787. Bd. 2. London 1824,  +65p. , m. Abb. 
";UB Tübingen Dc 47a;2;1;0;;18;67;;2
2814;Wratislaw von Mitrowitz, Wenceslas;"Wratislaw von Mitrowitz, Wenceslas: Des Freyherrn von Wratislaw merkwürdige Gesandtschaftsreise von Wien nach Konstantinopel, so gut als aus dem Englischen übersetzt. Leipzig 1786, x+471p. , frontispiece. 
";Gött. , Gen: (II, 22;1;3;2;;18;18;;0
2815;Wright, George Newenham;"Wright, George Newenham: The shores and islands of the Mediterranean, drawn from nature, by Grenville Temple, W. L. Leitch, Major Irton & Lieut. Allen. With an analysis of the Mediterranean and descriptions of the plates, by the Rev. G. N. Wright. London 1840, 154p. , map and 65 engraved plates. 
";Gen: GT 1842(I, 1136;1;2;0;;255;0;;0
2816;Wright, George Newenham;"Wright, George Newenham: Die Ufer und Inseln des mittelländischen Meeres in Ansichten von Sicilien, den Küsten der Barbarei, Calabrien, Malta, Gibraltar und den Ionischen Inseln. Nach der Natur gezeichnet von Leitch, Grenville, Irton und Allen. Nach dem Englischen von Dr. Ed. Brinckmeier. Braunschweig 1841. 
";MS UB SM 1D2904;2;3;0;;51;54;;0
2817;Wyse, Thomas;"Wyse, Thomas: Impressions of Greece. With an introduction by his niece Miss Wyse, and letters from Greece to friends at home by Arthur Pehrhyn Stanley, Dean of Westminster. London 1871, vii+322p. 
";UB Tübingen;2;1;0;;45;55;;0
2818;Wyse, Thomas;"Wyse, Thomas: An excursion in the Peloponnesus in the year 1858. Edited by his niece, Winifrede M. Wyse. 2 Bde. London 1865, many plates and illustrations. 
";UB Freiburg J6647;2;1;0;;255;0;;0
2819;Wyse, Thomas;"Wyse, Thomas: An excursion in the Peloponnesus in the year 1858. Edited by his niece, Winifrede M. Wyse. Bd. 1. London 1865. 
";UB Freiburg J6647;2;1;0;;67;74;;1
2820;Wyse, Thomas;"Wyse, Thomas: An excursion in the Peloponnesus in the year 1858. Edited by his niece, Winifrede M. Wyse. Bd. 2. London 1865. 
";UB Freiburg J6647;2;1;0;;54;64;;2
2821;Yemeniz, Eugène;"Yemeniz, Eugène: Voyage dans le royaume de Grèce. Précédé de considérations sur le génie de la Grèce par Victor de Laprade. Paris 1854, xliv+392p. 
";Gen: GT 1746(I, 503);1;1;1;;45;67;;0
2822;Yemeniz, Eugène;Yemeniz, Eugène: Paysages grecs. La valleé de Lacédémonie. Lyon 1874.  ;BLC               ;1;1;1;;67;67;;0
2823;Young, James Foster;Young, James Foster: Five weeks in Greece. London 1876, xiii+299p.  ;ÖB Dresden;2;1;0;;45;99;;0
2824;Zachariä (von Lingenthal), Karl Eduard;Zachariä (von Lingenthal), Karl Eduard: Reise in den Orient in den Jahren 1837 und 1838. Frankfurt a. M. 1985 (ND von Heidelberg 1840),  344p, 1 Karte (Athos). ;Katzanakis;2;1;0;;23;67;;0
2825;Zachariä, Karl Eduard;"Zachariä, Karl Eduard: Reise in den Orient in den Jahren 1837 und 1838. Heidelberg 1840, 344p. , 1 Karte. 
";Gen;1;1;0;;255;0;;0
2826;Zallony, Mark Philip;"Zallony, Mark Philip: Voyage à Tine, l'une des isles de l'Archipel de la Grèce. Paris 1809. 
";Anglomatis;1;1;0;;255;0;;0
2827;Zallony, Mark Philip;"Zallony, Mark Philip: Journal of a voyage up the Mediterranean, principally among the islands of the Archipelago, and in Asia Minor, including many interesting particulars relative to the Greek Revolution especially a journey through Maina to the camp of Ibrahim Pasha, together with observations on the antiquities, opinions, und usages to Greece... 2 Bde. in I. London 1826. 
";UB Gött. Itin I. 223;2;1;0;;74;77;;0
2828;Zehe, Joachim Dietrich;"Zehe, Joachim Dietrich: Hannoversche Rotröcke in Griechenland. (Das Tagebuch des Fähnrichs Zehe in den Türkenkriegen 1685-1688), hrsg.  von Herbert Röhrig. Hildesheim 1975, 244p. 
";Fr. MS UB 41032;3;1;0;;32;61;;0
2829;Ziegler, Alexander;"Ziegler, Alexander: Meine Reise im Orient. Leipzig 1855. 
";Tobler;1;1;0;;255;0;;0
2830;Zosimus;Zosimus: O. T. In: Itinéraires russes en Orient traduits pour la Société de l'Orient traduits par Mme. de Khitrowo. Geneva 1889, 197-221.  ;MS Sem. f. Byz. ;1;1;0;;255;0;;0
2831;Zosimus (Mönch);"Zosimus (Mönch): Die Pilgerreise des Mönchs Zosimus, hrsg. 
von Chr. M. Loparew. Petersburg 1889, xi+40p. (= XXIV. Lieferung der Sammlung des Russ. Palaestina-Vereins). 
";Röhricht 287      ;1;3;4;;255;0;;0
2832;Zosimus (Mönch);"Zosimus (Mönch): Vie et pèlerinage du moine pécheur Zosime diacre du couvent de Saint Serge (1419-22), trad. par Mme. B. Khitrowo. Genf 1888. (In: Société de l'Orient latin, série géogr. V. Itinér. )
";MS UB H 3 458;2;3;0;;18;29;;0
2833;Zuallard, Jean;Zuallard, Jean: La description de la ville d'Athène, Athen 1610.  ;BLC               ;1;1;1;;55;58;;0
2834;Zuallard, Jean;Zuallard, Jean: Le tresdevot Voyage de Ierusalem, avec les Figures des lieux saincts et plusieurs autres, tirées du naturel. 5 Bücher.  Anvers 1608. Buch 1/ 2: xxii+191p. , Buch 3: 235p. , Buch 4/ 5: 231p.  ;St. Bibl. Berl. Ul 5;2;3;0;;3;94;;0
2835;Zuallardo, Giovanni;"Zuallardo, Giovanni: Il devotissimo viaggio di Gierusalemme, fatto e discritto in sei libri dal Signor Giovanni Zuallardo... l'anno 1586.  Roma 1595, xvi+351p. , m. Karten u. Abb. 
";UB Erl. GgrIII 47 47;2;2;0;;3;94;;0
2836;Zygomalas, Theodosios and Kavasilas, Symeon;"Zygomalas, Theodosios and Kavasilas, Symeon: Theodosios Zygomalas,  Kleriker in Konstantinopel und Symeon Kavasilas aus Arta, Humanist,  schildern in Briefen an den Tübinger Humanisten Martinus Crusius die Zustände in Athen. Veröffentlicht bei M. Crusius. Turcograecia libri VIII. Basel 1584. 
";Klenze;1;1;0;;55;58;;0
2837;Pouqueville, Francois Charles Hugues Laurent;"Pouqueville, Francois Charles Hugues Laurent: Reise durch Griechenland, enthaltend die ältere und neuere Beschreibung von Epirus, vom griech. Illyrien, dem cisaxischen Macedonien, einem Theil von Triballien, Thessalien, Acarnanien,... Aetolien, w. Lokris, Doris u. d. Peloponnesus... ; übers. u. mit Anm. hrsg. v. F. C. L. Sickler, Bd. I, 1. 
Meiningen 1824, XXIV+411p. 
";Kopie HiLanG;2;3;0;;12;41;;3
